timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Snowfall Amount
20150714T0000,64.400955,82.23895,73.701706,0,0
20150715T0000,64.32895,85.22695,75.3637,0,0
20150716T0000,67.47895,89.96095,79.095695,0,0
20150717T0000,70.14295,92.57095,81.91645,0,0
20150718T0000,70.50295,82.81496,77.9107,0.70000005,0
20150719T0000,66.668945,87.85495,76.54645,1.2,0
20150720T0000,62.996952,85.98295,75.72594,0,0
20150721T0000,67.06496,89.816956,79.69121,0,0
20150722T0000,68.918945,92.51695,80.38944,5.7,0
20150723T0000,65.58895,74.78695,70.388954,0.8000001,0
20150724T0000,63.734955,86.10895,75.58645,0.6,0
20150725T0000,59.828953,71.87096,68.081955,3.6,0
20150726T0000,54.356953,69.17095,61.873455,4.2,0
20150727T0000,60.440952,73.88695,66.7852,0.3,0
20150728T0000,59.234955,72.96895,66.04795,0,0
20150729T0000,57.848953,66.25495,62.317448,2.8,0
20150730T0000,52.898952,69.35095,61.488697,0,0
20150731T0000,49.74895,76.13695,64.1797,0,0
20150801T0000,58.460953,75.93895,67.119705,4.1,0
20150802T0000,62.834953,81.068954,71.20571,0,0
20150803T0000,60.926952,88.10695,75.26019,0,0
20150804T0000,63.50095,78.36895,71.33697,0.6,0
20150805T0000,60.890953,86.32495,74.213196,0,0
20150806T0000,66.07495,93.74095,81.3682,0,0
20150807T0000,70.556946,96.386955,83.39995,0,0
20150808T0000,72.57295,90.51895,81.77846,11.3,0
20150809T0000,67.08295,79.82695,70.6867,1.4000001,0
20150810T0000,65.22895,77.52295,71.304695,1.6000001,0
20150811T0000,64.418945,83.57095,74.09245,0,0
20150812T0000,67.676956,87.67495,77.91595,0,0
20150813T0000,66.650955,89.85295,76.70995,3.6000001,0
20150814T0000,64.418945,78.90895,70.4677,2.1999998,0
20150815T0000,60.332954,66.974945,63.347958,4,0
20150816T0000,57.38095,65.57095,60.8137,3.2999997,0
20150817T0000,55.68895,70.39495,64.033455,0,0
20150818T0000,52.70095,72.77095,63.684704,0,0
20150819T0000,54.662952,70.70095,62.636196,0,0
20150820T0000,55.25695,74.21095,64.534454,0,0
20150821T0000,55.958954,76.64095,66.39371,0,0
20150822T0000,55.13095,79.30495,67.59595,0,0
20150823T0000,57.63295,77.73895,65.173454,13.899999,0
20150824T0000,60.278954,70.46695,63.586452,20.6,0
20150825T0000,51.98095,71.97895,63.038944,0,0
